CATEGORY	BIBTEXKEY	author	title	year	publisher	address	pages	booktitle	editor	journal	volume	number	school	note	url
book	abdullaev1950	Абдуллаев, Сайгид Н.	Даргинско-русский словарь 	1950	Институт истории, языка и литературы им. Г. Цадасы	Махачкала			Сулейманов Х. Ш.						
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	ИЯЛИ	Махачкала									
book	abdullaevaetal2014	Абдуллаева, Айшат З. и Гаджиахмедов, Нурмагомед Э. и Кадыраджиев, Калсын С. и Керимов, Ибрагим А. и Ольмесов, Нурмагомед Х. и Хангишиев, Джангиши М.	Современный кумыкский язык	2014	ИЯЛИ	Махачкала									
incollection	alekseev1994	Alekseev, Mikhail E.	Rutul	1994	Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2	Smeets, Riek						
incollection	alekseev1998	Алексеев, Михаил Е.	Андийский язык	1998	Academia	Москва	221--228	Языки мира. Кавказские языки	Алексеев, Михаил Е. и др.						
incollection	alekseev2016	Alekseev, Mikhail E.	Rutul	2016	De Gruyter Mouton	Berlin/Boston	3536--3545	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz						
book	alekseevataev1997	Алексеев, Михаил Егорович и Атаев, Борис Махаевич	Аварский язык	1997	Академия	Москва									
book	alekseevetal1998	Алексеев, Михаил Е. и Климов, Георгий А. и Старостин, Сергей А. и Тестелец, Яков Г. 	Языки мира. Кавказские языки	1998	Academia	Москва									
book	alekseevetal2008	Алексеев, Михаил Е. и Майсак, Тимур А. и Ганенков, Дмитрий С. и Ландер, Юрий А.	Удинский сборник: Грамматика. Лексика. История языка	2008	Академия	Москва									
book	alekseevetal2012	Алексеев, Михаил Е. и Атаев, Борис Махаевич и Магомедов, Магомед Абдулкадирович и Магомедов, Магомед Ибрагимович и Мадиева, Гюльжаган Исмаиловна и Саидова, Патимат Абдулаевна и Самедов, Джалиль Самедович	Современный аварский язык	2012	Aleph	Махачкала									
book	alekseevshixalieva2003	Алексеев, Михаил Е. и Шихалиева, Сабрина Х.	Табасаранский язык	2003	Академия	Москва									
incollection	alekseyev2016	Alekseyev, Mikhail	Botlikh	2016	De Gruyter Mouton	Berlin/Boston	3678--3685	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz						
unpublished	alexeyevverheesdraft2020	Alexeyev, Mikhail and Verhees, Samira	Botlikh	2020	De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur						
phdthesis	alisultanova2009	Алисултанова, Меседу А.	Лексика андийского языка	2009	Дагестанский научный центр Российской академии наук  Институт языка, литературы и искусства им. Гамзата Цадасы	Махачкала									
book	authier2009	Authier, Gilles	Grammaire kryz	2009	Peeters	Paris									
article	authier2010	Authier, Gilles	Azeri morphology in Kryz (East Caucasian)	2010			14--42			Turkic Languages					
book	authier2012	Authier, Gilles	Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l’est	2012	Dr. Ludwig Reichert Verlag Wiesbaden	Wiesbaden									
unpublished	authierdraft2020	Authier, Gilles	Tindi	2020	De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur						
incollection	authierhaciyev2016	Authier, Gilles and Adigözel Haciyev	Budugh	2016	De Gruyter Mouton	Berlin/Boston	3546--3563	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz						
phdthesis	azaev1974	Азаев, Халил Г.	Лексика и словообразование ботлихского языка	1974		Махачкала							Дагестанский филиал АН СССР, Институт истории языка и литературы им. Г. Цадасы		
incollection	azaev2000	Азаев, Халил Г.	Ботлихский язык	2000	Восток	Москва/Махачкала	346--359	Языки Дагестана	Гамзатов, Гаджи Г.						
phdthesis	babaliyeva2013	Babaliyeva, Ayten	Études sur la morphosyntaxe du tabasaran littéraire	2013									École Pratique des Hautes Études		
book	baskakov1940	Баскаков, Николай А.	Ногайский язык и его диалекты: грамматика, тексты и словарь	1940	Издательство Академии наук СССР	Москва									
incollection	baskakov1996	Баскаков, Н. А.	Ногайский язык	1996		Москва	328--335	Языки мира. Тюркские языки	Н. В. Рогова, О. И. Романова, И. М. Черкасова						
incollection	belyaev2018	Belyaev, Oleg	Aorist, Resultative and Perfect in Shiri Dargwa and beyond	2018	Brill	Leiden	80--119		Forker, Diana and Maisak, Timur						
incollection	boeder2000	Boeder, Winfried	Evidentiality in Georgian	2000	Mouton de Gruyter	Berlin/New York	275--328	Evidentials. Turkic, Iranian and neighbouring languages	Johanson, Lars and Utas, Bo						
book	bokarev1949a	Бокарёв, Анатолий А.	Очерк грамматики чамалинского языка	1949	Издательство Академии наук СССР	Москва/Ленинград									
