source_type	category	bibtexkey	language	idiom	type	comment	screenshot	archived	contributor
???	incollection	alekseev2016	Rutul	???	???	Это кто добавил?!	no	no	
dictionary	phdthesis	alisultanova2009	Andi	Andi	village		yes	yes	
dictionary	book	gimbatov2006	Avar	Standard Avar	language		no	yes	
dictionary	book	khajdakov1962	Lak	Standard Lak	language		no	yes	
dictionary	book	magomedova1999	Chamalal	Lower Gakvari	village		yes	yes	
dictionary	book	magomedova2003	Tindi	Tindi	village	With notes on other dialects.	yes	yes	
dictionary	book	magomedova2004	Bagvalal	Khushtada	village		partial	yes	
dictionary	book	magomedovaabdulaeva2007	Akhvakh	Tad-Magitl’	village		no	yes	
dictionary	book	magomedovaxalidova2001	Karata	Karata	village		yes	no	
dictionary	book	ramazanov2010	Agul	Central	dialect_toplevel		no	yes	
dictionary	book	saidovaabusov2012	Botlikh	Botlikh	village	With notes on Miarso.	no	yes	
dictionary	book	xanmagomedovshalbuzov2001	Tabasaran	Standard Tabasaran	language		no	yes	
dictionary	book	saidova2006	Godoberi	Godoberi	village		no	yes	
dictionary	book	ismailova2011	Rutul	Rutul	language		no	yes	
dictionary	book	talibovgadzhiev1966	Lezgian	Gyuney	dialect_nt1		yes	Not uploaded: consists of a set of separate files	
dictionary	book	kibrik1977dict	Archi	Archib	village		yes	yes	
dictionary	book	xalilov2015	Bezhta	Bezhta	dialect_toplevel		no	yes	
dictionary	book	xalilovisakov2005	Hinuq	Hinuq	village		no	yes	
dictionary	book	xalilov1999	Tsez	Kidero	dialect_nt1		no	yes	
dictionary	book	mejlanova1984	Budukh	Budukh	village		no	yes	
dictionary	book	isakovxalilov2001	Hunzib	Hunzib	language		no	yes	
dictionary	book	ibragimovnurmamedov2010	Tsakhur	Tsakh	dialect_toplevel		no	yes	
dictionary	book	karasaevmaciev1978	Chechen	Standard Chechen	language		no	yes	
dictionary	book	naftaliev2016	Tat	Judeo-Tat	dialect_toplevel	Specifically Gunib dialect	yes	yes	
grammar	book	abdullaev1954	Dargwa	Akusha	dialect_nt1		yes	yes	
grammar	book	abdullaevaetal2014	Kumyk	Standard Kumyk	language		yes	yes	
grammar	incollection	alekseev1994	Rutul	Luchek	village		yes	yes	
grammar	book	alekseevetal2008	Udi	Nidzh	village		no	yes	
grammar	book	alekseevetal2012	Avar	Standard Avar	language	Does not explicitly state on which variety of Avar the publication is based.	no	yes	
grammar	book	alekseevshixalieva2003	Tabasaran	Standard Tabasaran	language	Does not explicitly state on which variety of Tabasaran the publication is based.	no	yes	
grammar	unpublished	alexeyevverheesdraft2020	Botlikh	Botlikh	village		no	no	
grammar	book	authier2009	Kryz	Alik	village		yes	yes	
grammar	book	authier2012	Tat	Judeo-Tat	dialect_toplevel	Not sure about the dialect of Judeo-Tat described in the source.	no	yes	
grammar	unpublished	authierdraft2020	Tindi	Tindi	village		yes	yes	
grammar	incollection	authierhaciyev2016	Budukh	Budukh	village		no	no	
grammar	book	baskakov1940	Nogai	Ak-Nogai	dialect_toplevel	I think in Dagestan Kara-Nogai is spoken	yes	yes	
