id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh			yes	Affective	no affective	kibrikkodzasov1990				Denis Arsentjev
2	Andi			yes	Affective	affective	kibrikkodzasov1990				Denis Arsentjev
3	Bagvalal			yes	Affective	affective	kibrik2001				Denis Arsentjev
4	Botlikh			yes	Affective	NA	?				Denis Arsentjev
5	Chamalal			yes	Affective	no affective	kibrikkodzasov1990				Denis Arsentjev
6	Godoberi			yes	Affective	affective	kibriketal1996				Denis Arsentjev
7	Karata			yes	Affective	no affective	magomedbekova1971				Denis Arsentjev
8	Tindi			yes	Affective	NA	?				Denis Arsentjev
9	Armenian			yes	Affective	NA	?				Denis Arsentjev
10	Avar			yes	Affective	NA	?				Denis Arsentjev
11	Dargwa			yes	Affective	no affective	kibrikkodzasov1990				Denis Arsentjev
12	Khinalug			yes	Affective	NA	?				Denis Arsentjev
13	Kumyk			yes	Affective	no affective	dmitriev1940				Denis Arsentjev
14	Nogai			yes	Affective	no affective	baskakov1940				Denis Arsentjev
15	Lak			yes	Affective	no affective	kibrikkodzasov1990				Denis Arsentjev
16	Agul			yes	Affective	no affective	kibrikkodzasov1990				Denis Arsentjev
17	Archi			yes	Affective	no affective	kibrikkodzasov1990				Denis Arsentjev
18	Budukh			yes	Affective	NA	?				Denis Arsentjev
19	Kryz			yes	Affective	NA	?				Denis Arsentjev
20	Lezgian			yes	Affective	no affective	kibrikkodzasov1990				Denis Arsentjev
21	Rutul			yes	Affective	NA	?				Denis Arsentjev
22	Tabasaran			yes	Affective	NA	?				Denis Arsentjev
23	Tsakhur			yes	Affective	affective	kibrikkodzasov1990				Denis Arsentjev
24	Udi			yes	Affective	NA	?				Denis Arsentjev
25	Bats			yes	Affective	NA	?				Denis Arsentjev
26	Chechen			yes	Affective	no affective	nichols1994				Denis Arsentjev
27	Ingush			yes	Affective	NA	?				Denis Arsentjev
28	Bezhta			yes	Affective	no affective	kibrikkodzasov1990				Denis Arsentjev
29	Hinuq			yes	Affective	NA	?				Denis Arsentjev
30	Hunzib			yes	Affective	no affective	kibrikkodzasov1990				Denis Arsentjev
31	Tsez			yes	Affective	no affective	kibrikkodzasov1990				Denis Arsentjev
32	Khwarshi			yes	Affective	no affective	khalilova2009				Denis Arsentjev
33	North Azerbaijani			yes	Affective	NA	?				Denis Arsentjev
