id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh			yes	Number of classes	3	kartozia2018				Inga Kartozia
2	Andi			yes	Number of classes	5	kartozia2018				Inga Kartozia
3	Bagvalal			yes	Number of classes	3	kartozia2018				Inga Kartozia
4	Botlikh			yes	Number of classes	3	kartozia2018				Inga Kartozia
5	Chamalal			yes	Number of classes	5	kartozia2018				Inga Kartozia
6	Godoberi			yes	Number of classes	3	kartozia2018				Inga Kartozia
7	Karata			yes	Number of classes	3	kartozia2018				Inga Kartozia
8	Tindi			yes	Number of classes	3	kartozia2018				Inga Kartozia
9	Armenian			yes	Number of classes	0	kartozia2018				Inga Kartozia
10	Avar			yes	Number of classes	3	kartozia2018				Inga Kartozia
11	Dargwa			yes	Number of classes	3	kartozia2018				Inga Kartozia
12	Khinalugh			yes	Number of classes	4	kartozia2018				Inga Kartozia
13	Kumyk			yes	Number of classes	0	kartozia2018				Inga Kartozia
14	Nogai			yes	Number of classes	0	kartozia2018				Inga Kartozia
15	Lak			yes	Number of classes	4	kartozia2018				Inga Kartozia
16	Aghul			yes	Number of classes	0	kartozia2018				Inga Kartozia
17	Archi			yes	Number of classes	3	kartozia2018				Inga Kartozia
18	Budukh			yes	Number of classes	4	kartozia2018				Inga Kartozia
19	Kryz			yes	Number of classes	4	kartozia2018				Inga Kartozia
20	Lezgian			yes	Number of classes	0	kartozia2018				Inga Kartozia
21	Rutul			yes	Number of classes	4	kartozia2018				Inga Kartozia
22	Tabasaran			yes	Number of classes	2	kartozia2018				Inga Kartozia
23	Tsakhur			yes	Number of classes	4	kartozia2018				Inga Kartozia
24	Udi			yes	Number of classes	0	kartozia2018				Inga Kartozia
25	Bats			yes	Number of classes	NA	kartozia2018				Inga Kartozia
26	Chechen			yes	Number of classes	5	kartozia2018				Inga Kartozia
27	Ingush			yes	Number of classes	5	kartozia2018				Inga Kartozia
28	Bezhta			yes	Number of classes	4	kartozia2018				Inga Kartozia
29	Hinuq			yes	Number of classes	5	kartozia2018				Inga Kartozia
30	Hunzib			yes	Number of classes	5	kartozia2018				Inga Kartozia
31	Tsez			yes	Number of classes	4	kartozia2018				Inga Kartozia
32	Xvarshi			yes	Number of classes	5	kartozia2018				Inga Kartozia
33	North Azerbaijani			yes	Number of classes	0	kartozia2018				Inga Kartozia
