id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh			yes	Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
2	Andi			yes	Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
3	Bagvalal			yes	Gemination	NA	?				George Moroz, Violetta Ivanova
4	Botlikh			yes	Gemination	NA	?				George Moroz, Violetta Ivanova
5	Chamalal			yes	Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
6	Godoberi			yes	Gemination	NA	?				George Moroz, Violetta Ivanova
7	Karata			yes	Gemination	attested in ejectives	magomedbekova1971				George Moroz, Violetta Ivanova
8	Tindi			yes	Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
9	Armenian			yes	Gemination	not attested	dum-tragut2009				George Moroz, Violetta Ivanova
10	Avar			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
11	Dargwa			yes	Gemination	attested in voiceless	kibrikkodzasov1990				George Moroz, Violetta Ivanova
12	Khinalug			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
13	Kumyk			yes	Gemination	not attested	dmitriev1940				George Moroz, Violetta Ivanova
14	Nogai			yes	Gemination	not attested	baskakov1940				George Moroz, Violetta Ivanova
15	Lak			yes	Gemination	attested in voiceless	kibrikkodzasov1990				George Moroz, Violetta Ivanova
16	Agul			yes	Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
17	Archi			yes	Gemination	attested in ejectives	kibrikkodzasov1990				George Moroz, Violetta Ivanova
18	Budukh			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
19	Kryz			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
20	Lezgian			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
21	Rutul			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
22	Tabasaran			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
23	Tsakhur			yes	Gemination	attested in voiceless	kibrikkodzasov1990				George Moroz, Violetta Ivanova
24	Udi			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
25	Bats			yes	Gemination	NA	?				George Moroz, Violetta Ivanova
26	Chechen			yes	Gemination	NA	?				George Moroz, Violetta Ivanova
27	Ingush			yes	Gemination	NA	?				George Moroz, Violetta Ivanova
28	Bezhta			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
29	Hinuq			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
30	Hunzib			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
31	Tsez			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
32	Khwarshi			yes	Gemination	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
33	North Azerbaijani			yes	Gemination	not attested	shiralievsevortyan1971				George Moroz, Violetta Ivanova
