id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh			yes	Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
2	Andi			yes	Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
3	Bagvalal			yes	Laterals	ɬ ʟ	kibrik2001				George Moroz, Violetta Ivanova
4	Botlikh			yes	Laterals	ɬ ʟ ʟ’	Magomedbekova (YM)				George Moroz, Violetta Ivanova
5	Chamalal			yes	Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
6	Godoberi			yes	Laterals	ɬ ʟ ʟ’	kibriketal1996				George Moroz, Violetta Ivanova
7	Karata			yes	Laterals	ɬ ʟ ʟ’	magomedbekova1971				George Moroz, Violetta Ivanova
8	Tindi			yes	Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
9	Armenian			yes	Laterals	only approximant	dum-tragut2009				George Moroz, Violetta Ivanova
10	Avar			yes	Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
11	Dargwa			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
12	Khinalug			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
13	Kumyk			yes	Laterals	only approximant	dmitriev1940				George Moroz, Violetta Ivanova
14	Nogai			yes	Laterals	only approximant	baskakov1940				George Moroz, Violetta Ivanova
15	Lak			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
16	Agul			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
17	Archi			yes	Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
18	Budukh			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
19	Kryz			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
20	Lezgian			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
21	Rutul			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
22	Tabasaran			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
23	Tsakhur			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
24	Udi			yes	Laterals	only approximant	kibrikkodzasov1990				George Moroz, Violetta Ivanova
25	Bats			yes	Laterals	only approximant	?				George Moroz, Violetta Ivanova
26	Chechen			yes	Laterals	only approximant	nichols1994				George Moroz, Violetta Ivanova
27	Ingush			yes	Laterals	only approximant	nichols2011				George Moroz, Violetta Ivanova
28	Bezhta			yes	Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
29	Hinuq			yes	Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
30	Hunzib			yes	Laterals	ɬ ʟ ʟ’	kibrikkodzasov1990				George Moroz, Violetta Ivanova
31	Tsez			yes	Laterals	ɬ ʟ	kibrikkodzasov1990				George Moroz, Violetta Ivanova
32	Khwarshi			yes	Laterals	ɬ ʟ ʟ’	khalilova2009				George Moroz, Violetta Ivanova
33	North Azerbaijani			yes	Laterals	only approximant	shiralievsevortyan1971				George Moroz, Violetta Ivanova
