id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh			yes	Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
2	Andi			yes	Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
3	Bagvalal			yes	Nasalization	NA	kibrik2001				George Moroz, Violetta Ivanova
4	Botlikh			yes	Nasalization	NA	alexeyevverhees2020				George Moroz, Violetta Ivanova
5	Chamalal			yes	Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
6	Godoberi			yes	Nasalization	NA	kibriketal1996				George Moroz, Violetta Ivanova
7	Karata			yes	Nasalization	attested	Magomedbekova				George Moroz, Violetta Ivanova
8	Tindi			yes	Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
9	Armenian			yes	Nasalization	not attested	dum-tragut2009				George Moroz, Violetta Ivanova
10	Avar			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
11	Dargwa			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
12	Khinalug			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
13	Kumyk			yes	Nasalization	not attested	dmitriev1940				George Moroz, Violetta Ivanova
14	Nogai			yes	Nasalization	not attested	baskakov1940				George Moroz, Violetta Ivanova
15	Lak			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
16	Agul			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
17	Archi			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
18	Budukh			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
19	Kryz			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
20	Lezgian			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
21	Rutul			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
22	Tabasaran			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
23	Tsakhur			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
24	Udi			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
25	Bats			yes	Nasalization	NA	?				George Moroz, Violetta Ivanova
26	Chechen			yes	Nasalization	NA	?				George Moroz, Violetta Ivanova
27	Ingush			yes	Nasalization	NA	?				George Moroz, Violetta Ivanova
28	Bezhta			yes	Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
29	Hinuq			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
30	Hunzib			yes	Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
31	Tsez			yes	Nasalization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
32	Khwarshi			yes	Nasalization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
33	North Azerbaijani			yes	Nasalization	not attested	shiralievsevortyan1971				George Moroz, Violetta Ivanova
