id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
2	Andi			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
3	Bagvalal			yes	Pharyngealization	not attested	kibrik2001				George Moroz, Violetta Ivanova
4	Botlikh			yes	Pharyngealization	not attested	alexeyevverhees2020				George Moroz, Violetta Ivanova
5	Chamalal			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
6	Godoberi			yes	Pharyngealization	not attested	kibriketal1996				George Moroz, Violetta Ivanova
7	Karata			yes	Pharyngealization	not attested	magomedbekova1971				George Moroz, Violetta Ivanova
8	Tindi			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
9	Armenian			yes	Pharyngealization	not attested	dum-tragut2009				George Moroz, Violetta Ivanova
10	Avar			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
11	Dargwa			yes	Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
12	Khinalug			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
13	Kumyk			yes	Pharyngealization	not attested	dmitriev1940				George Moroz, Violetta Ivanova
14	Nogai			yes	Pharyngealization	not attested	baskakov1940				George Moroz, Violetta Ivanova
15	Lak			yes	Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
16	Agul			yes	Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
17	Archi			yes	Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
18	Budukh			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
19	Kryz			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
20	Lezgian			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
21	Rutul			yes	Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
22	Tabasaran			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
23	Tsakhur			yes	Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
24	Udi			yes	Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
25	Bats			yes	Pharyngealization	NA	?				George Moroz, Violetta Ivanova
26	Chechen			yes	Pharyngealization	not attested	nichols1994				George Moroz, Violetta Ivanova
27	Ingush			yes	Pharyngealization	not attested	nichols2011				George Moroz, Violetta Ivanova
28	Bezhta			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
29	Hinuq			yes	Pharyngealization	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
30	Hunzib			yes	Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
31	Tsez			yes	Pharyngealization	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
32	Khwarshi	Inkhoqwari		yes	Pharyngealization	attested	khalilova2009				George Moroz, Violetta Ivanova
33	Khwarshi	Khwarshi		yes	Pharyngealization	not attested	khalilova2009				George Moroz, Violetta Ivanova
34	North Azerbaijani			yes	Pharyngealization	not attested	shiralievsevortyan1971				George Moroz, Violetta Ivanova
