id	lang_family	lang_branch	lang	idiom	type	core	feature	pred_infl	map_spatial	value1	value2	value	value_as_in_source	source	page	comment	contributor	form	example_as_in_source	example	gloss	translation_as_in_source	translation	example_source	example_page	example_comment
1	ND	Lezgic	Agul	Agul	idiom	yes	standard of comparison	no	spatial	elative	super	superelative	elative -l	magometov1970	84		Chiara Naccarato	-l-as		'zun bic''if e dada-l-as'	I small cop father-sup-el	я меньше отца	'I''m smaller than my father'	magometov1970	84	
2	ND	Avar-Andic	Akhvakh	Northern Akhvakh	idiom	yes	standard of comparison	no	spatial	elative	super	superelative	translative	magomedbekova1967	67		Chiara Naccarato	-g-une		jacːo-g-une wacːi šoda gudi	sister.obl-sup-trans brother good cop.m	брат лучше сестры	the brother is better than the sister	magomedbekova1967	67	
3	ND	Avar-Andic	Andi	Andi	village	yes	standard of comparison	no	spatial	essive/lative	cont	contessive	essive II	cercvadze1965	344		Chiara Naccarato	'-č''u'		'hono-r haq''ːu du-r haq''ːu-č''u r-eč''uχa'	dem-inan2 house you.sg-inan2 house.obl-cont inan2-big	этот дом больше твоего дома	this house is bigger than your house	cercvadze1965	344	
4	ND	Lezgic	Archi	Archib	village	yes	standard of comparison	no	dedicated	dedicated	NA	comparative		kibrik1977	153	residual spatial usages (Daniel & Ganenkov 2009: 673-674)	Chiara Naccarato	-χur		'dogi niIši-χur t''i'	donkey horse.obl?-cmpr small	осел меньше лошади 	the donkey is smaller than the horse	kibrik1977	153	
5	ND	Lezgic	Archi	Archib	village	no	standard of comparison	no	spatial	elative	super	superelative	elative III	mikailov1967	60		Chiara Naccarato	-tː-iš		'ƛurc''em ƛʷati-tːu-b i dogi-li-tː-iš'	mule strong-attr-inan1.sg cop donkey-obl?-sup-el	мул сильнее осла	the mule is stronger than the donkey	mikailov1967	60	
6	IE	Armenic	Armenian	Modern Eastern Armenian	idiom	yes	standard of comparison	yes	spatial	elative	NA	ablative		dum-tragut2009	532		Chiara Naccarato	'-ic'''		'Ararat-ě Aragac''-ic'' (aveli) barjr ē'	Ararat-det Aragac-abl (cmpr) high cop	Ararat is higher than Aragac	Ararat is higher than Aragac	dum-tragut2009	532	
7	ND	Avar-Andic	Avar	Standard Avar	idiom	yes	standard of comparison	no	spatial	elative	super	superelative	superablative	forker2020	NA (17)		Chiara Naccarato	-da-sa		di-da-sa ɬik’-a-w qazaq du-je=gi šːʷ-ela-r=in	I.obl-sup-el good-adjz-m worker you.sg.obl-dat=add get-fut-neg=emph	you will also not get a better farm worker than me	you will also not get a better farm worker than me	forker2020	NA (17)	example from bokarev1949syntax
8	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	idiom	yes	standard of comparison	no	spatial	elative	NA	ablative		sirəliyevsevortyan1971	47		Chiara Naccarato	-dan (-dən)		Bakı Kirovabad-dan böyük-dür	Baku Kirovabad-abl big-cop.3sg	Баку больше Кировабада	Baku is bigger than Kirovabad	sirəliyevsevortyan1971	47	
9	ND	Avar-Andic	Bagvalal	Kvanada	village	no	standard of comparison	no	spatial	elative	super	superelative		sosenskaja2001	409		Chiara Naccarato	-la-sː		'anwar ʕisa-la-sː kuwata-w ekʷ''a'	Anwar Isa.obl-sup-el strong-m cop	Анвар сильнее Исы	Anwar is stronger than Isa	sosenskaja2001	409	
10	ND	Avar-Andic	Bagvalal	Bagvalal	idiom	yes	standard of comparison	no	spatial	essive/lative	cont	contessive		sosenskaja2001; magomedova2004	409; 578	magomedova2004 is based on data from multiple villages, but there is no consistent and explicit mention of dialectal variation	Chiara Naccarato	'-č'''		'anwar ʕisa-č'' kuwata-w ekʷ''a'	Anwar Isa.obl-cont strong-m cop	Анвар сильнее Исы	Anwar is stronger than Isa	sosenskaja2001	409	
